"","city_no","walk_no","reward","H","B","A","v","subjID","mean","sd","best_leaf","best_reward","worst_leaf","worst_reward","step_reward","perc_reward","regret","step_regret","perc_regret","score","zreward"
"1",1,1,167,4,4,1,5,"A1OZPLHNIU1519",145.015625,21.6380706439016,34,184,52,103,55.6666666666667,0.563927855711423,17,5.66666666666667,0.436072144288577,0.790123456790123,1.01600440084504
"2",1,2,161,4,4,1,5,"A1OZPLHNIU1519",145.015625,21.6380706439016,34,184,52,103,53.6666666666667,0.41002004008016,23,7.66666666666667,0.58997995991984,0.716049382716049,0.73871535327966
"3",1,3,154,4,4,1,5,"A1OZPLHNIU1519",145.015625,21.6380706439016,34,184,52,103,51.3333333333333,0.230460921843687,30,10,0.769539078156313,0.62962962962963,0.415211464453377
"4",1,4,146,4,4,1,5,"A1OZPLHNIU1519",145.015625,21.6380706439016,34,184,52,103,48.6666666666667,0.025250501002004,38,12.6666666666667,0.974749498997996,0.530864197530864,0.045492734366196
"5",1,5,165,4,4,1,5,"A1OZPLHNIU1519",145.015625,21.6380706439016,34,184,52,103,55,0.512625250501002,19,6.33333333333333,0.487374749498998,0.765432098765432,0.92357471832325
"6",1,6,167,4,4,1,5,"A1OZPLHNIU1519",145.015625,21.6380706439016,34,184,52,103,55.6666666666667,0.563927855711423,17,5.66666666666667,0.436072144288577,0.790123456790123,1.01600440084504
"7",1,7,160,4,4,1,5,"A1OZPLHNIU1519",145.015625,21.6380706439016,34,184,52,103,53.3333333333333,0.38436873747495,24,8,0.61563126252505,0.703703703703704,0.692500512018762
"8",1,8,174,4,4,1,5,"A1OZPLHNIU1519",145.015625,21.6380706439016,34,184,52,103,58,0.743486973947896,10,3.33333333333333,0.256513026052104,0.876543209876543,1.33950828967133
"9",1,9,172,4,4,1,5,"A1OZPLHNIU1519",145.015625,21.6380706439016,34,184,52,103,57.3333333333333,0.692184368737475,12,4,0.307815631262525,0.851851851851852,1.24707860714953
"10",1,10,168,4,4,1,5,"A1OZPLHNIU1519",145.015625,21.6380706439016,34,184,52,103,56,0.589579158316633,16,5.33333333333333,0.410420841683367,0.802469135802469,1.06221924210594
"11",1,11,182,4,4,1,5,"A1OZPLHNIU1519",145.015625,21.6380706439016,34,184,52,103,60.6666666666667,0.948697394789579,2,0.666666666666667,0.0513026052104208,0.975308641975309,1.70922701975851
"12",1,12,178,4,4,1,5,"A1OZPLHNIU1519",145.015625,21.6380706439016,34,184,52,103,59.3333333333333,0.846092184368737,6,2,0.153907815631263,0.925925925925926,1.52436765471492
"13",1,13,180,4,4,1,5,"A1OZPLHNIU1519",145.015625,21.6380706439016,34,184,52,103,60,0.897394789579158,4,1.33333333333333,0.102605210420842,0.950617283950617,1.61679733723671
"14",1,14,182,4,4,1,5,"A1OZPLHNIU1519",145.015625,21.6380706439016,34,184,52,103,60.6666666666667,0.948697394789579,2,0.666666666666667,0.0513026052104208,0.975308641975309,1.70922701975851
"15",1,15,180,4,4,1,5,"A1OZPLHNIU1519",145.015625,21.6380706439016,34,184,52,103,60,0.897394789579158,4,1.33333333333333,0.102605210420842,0.950617283950617,1.61679733723671
"16",2,1,43,2,3,1,3,"A1OZPLHNIU1519",39.6666666666667,4.50924975282289,2,44,3,35,43,0.769230769230767,1,1,0.230769230769233,0.888888888888889,0.739221270954566
"17",2,2,32,2,3,1,3,"A1OZPLHNIU1519",39.6666666666667,4.50924975282289,2,44,3,35,32,-1.76923076923079,12,12,2.76923076923079,0,-1.70020892319553
"18",2,3,43,2,3,1,3,"A1OZPLHNIU1519",39.6666666666667,4.50924975282289,2,44,3,35,43,0.769230769230767,1,1,0.230769230769233,0.888888888888889,0.739221270954566
"19",2,4,44,2,3,1,3,"A1OZPLHNIU1519",39.6666666666667,4.50924975282289,2,44,3,35,44,1,0,0,0,1,0.960987652240938
"20",2,5,41,2,3,1,3,"A1OZPLHNIU1519",39.6666666666667,4.50924975282289,2,44,3,35,41,0.307692307692302,3,3,0.692307692307698,0.666666666666667,0.295688508381822
"21",2,6,40,2,3,1,3,"A1OZPLHNIU1519",39.6666666666667,4.50924975282289,2,44,3,35,40,0.0769230769230699,4,4,0.92307692307693,0.555555555555556,0.07392212709545
"22",2,7,39,2,3,1,3,"A1OZPLHNIU1519",39.6666666666667,4.50924975282289,2,44,3,35,39,-0.153846153846163,5,5,1.15384615384616,0.444444444444444,-0.147844254190922
"23",2,8,37,2,3,1,3,"A1OZPLHNIU1519",39.6666666666667,4.50924975282289,2,44,3,35,37,-0.615384615384628,7,7,1.61538461538463,0.222222222222222,-0.591377016763666
"24",2,9,42,2,3,1,3,"A1OZPLHNIU1519",39.6666666666667,4.50924975282289,2,44,3,35,42,0.538461538461535,2,2,0.461538461538465,0.777777777777778,0.517454889668194
"25",2,10,42,2,3,1,3,"A1OZPLHNIU1519",39.6666666666667,4.50924975282289,2,44,3,35,42,0.538461538461535,2,2,0.461538461538465,0.777777777777778,0.517454889668194
"26",2,11,43,2,3,1,3,"A1OZPLHNIU1519",39.6666666666667,4.50924975282289,2,44,3,35,43,0.769230769230767,1,1,0.230769230769233,0.888888888888889,0.739221270954566
"27",2,12,43,2,3,1,3,"A1OZPLHNIU1519",39.6666666666667,4.50924975282289,2,44,3,35,43,0.769230769230767,1,1,0.230769230769233,0.888888888888889,0.739221270954566
"28",2,13,43,2,3,1,3,"A1OZPLHNIU1519",39.6666666666667,4.50924975282289,2,44,3,35,43,0.769230769230767,1,1,0.230769230769233,0.888888888888889,0.739221270954566
